,author_id,author
578,579,Thomas J. Stanley/William D. Danko
579,580,Thomas L. Friedman
580,581,Thomas More/Paul Turner
581,582,Thomas Pynchon
582,583,Tim LaHaye/Jerry B. Jenkins
583,584,Tite Kubo
584,585,Tom Clancy
585,586,Tom Clancy/David Dukes
586,587,Tom Robbins
587,588,Tom Stoppard
588,589,Toni Morrison
589,590,Tracy Kidder
590,591,Trudi Canavan
591,592,Tsugumi Ohba/Takeshi Obata/Pookie Rolf
592,593,Tucker Max
593,594,Umberto Eco/Girolamo De Michele/Alastair McEwen/Agnolo di Cosimo Bronzino
594,595,Umberto Eco/William Weaver
595,596,Upton Sinclair/Earl Lee/Kathleen DeGrave
596,597,Ursula K. Le Guin
597,598,Ursula K. Le Guin/Margot Paronis
598,599,Victor Hugo/Walter J. Cobb
599,600,Victoria Finlay
600,601,Viktor E. Frankl/Harold S. Kushner/William J. Winslade/Isle Lasch
601,602,Vince Flynn
602,603,Virgil/Robert Fitzgerald
603,604,Virginia Woolf
604,605,Virginia Woolf/Maureen Howard
605,606,Vladimir Nabokov
606,607,W. Chan Kim/Renée Mauborgne
607,608,W. Somerset Maugham
608,609,W. Somerset Maugham/Benjamin DeMott/Maeve Binchy
609,610,Wallace Stegner/Terry Tempest Williams/T.H. Watkins
610,611,Wally Lamb
611,612,Walter Dean Myers
612,613,Walter Isaacson
613,614,Walter Scott/Graham Tulloch
614,615,Wilkie Collins/Carolyn G. Heilbrun
615,616,Wilkie Collins/Matthew Sweet
616,617,Willa Cather
617,618,William Faulkner
618,619,William Gibson
619,620,William Gibson/Bruce Sterling/Jonathan Davis/Dennis Holland/Kevin Pariseau/Victor Bevine/Jay Snyder/Brian Nishil/L.J. Ganser/Oliver Wyman/Eric Michael Summerer/Marc Vietor
620,621,William Golding
621,622,William Goldman
622,623,William Makepeace Thackeray/John Carey
623,624,William S. Burroughs/James Grauerholz/Barry Miles
624,625,William S. Burroughs/Oliver  Harris/Allen Ginsberg
625,626,William Shakespeare
626,627,William Shakespeare/Barbara A. Mowat/Paul Werstine/Michael Neill
627,628,William Shakespeare/Harold Bloom/Rex Gibson
628,629,William Shakespeare/Katherine Duncan-Jones
629,630,William Shakespeare/Paul Werstine/Barbara A. Mowat
630,631,William Shakespeare/Roma Gill
631,632,William Strunk Jr./E.B. White
632,633,Zadie Smith
633,634,Zilpha Keatley Snyder
634,635,Zora Neale Hurston
635,636,Åsne Seierstad/Ingrid Christopherson
